Date,Sentiment,Stock Return
2019-01-22,2738.0,20.321333
2019-01-25,3565.0,19.625999
2019-01-28,946.0,19.527332
2019-01-30,4636.0,20.030001
2019-01-31,1818.0,20.066668
2019-02-01,4500.0,20.361334
2019-02-04,6507.0,20.865334
2019-02-07,7628.0,20.886667
2019-02-08,3883.0,20.455334
2019-02-12,3430.0,21.08
2019-02-13,2355.0,20.823334
2019-02-14,1260.0,20.225332
2019-02-15,6111.0,20.299999
2019-02-20,6949.0,20.294001
2019-02-22,5130.0,19.632668
2019-02-25,5542.0,19.860666
2019-02-26,8728.0,19.481333
2019-02-27,4406.0,20.118668
2019-03-01,3408.0,20.462667
2019-03-06,9678.0,18.431999
2019-03-07,3325.0,18.589333
2019-03-08,3077.0,18.460667
2019-03-12,1281.0,19.099333
2019-03-14,4048.0,19.496668
2019-03-15,1264.0,18.900667
2019-03-22,886.0,18.172001
2019-03-26,1214.0,17.629333
2019-03-29,465.0,18.58
2019-04-01,2540.0,18.841333
2019-04-02,2812.0,19.219999
2019-04-03,1167.0,19.154667
2019-04-04,1225.0,17.459333
2019-04-05,2607.0,17.990667
2019-04-10,985.0,18.449333
2019-04-11,4474.0,17.886667
2019-04-12,628.0,18.014668
2019-04-15,2029.0,17.908667
2019-04-22,5965.0,17.933332
2019-04-23,3418.0,17.343332
2019-04-24,864.0,17.59
2019-04-25,800.0,17.0
2019-04-29,5541.0,15.724
2019-04-30,2861.0,16.137333
2019-05-03,6472.0,16.257334
2019-05-06,2506.0,16.667999
2019-05-07,538.0,17.120001
2019-05-08,370.0,16.462667
2019-05-09,6550.0,16.133333
2019-05-10,3200.0,15.983333
2019-05-13,3645.0,15.467333
2019-05-16,3413.0,15.299333
2019-05-17,5813.0,14.797333
2019-05-22,5978.0,13.273333
2019-05-23,1539.0,12.956
2019-05-24,1446.0,13.322
2019-05-31,2625.0,12.34
2019-06-07,950.0,13.666667
2019-06-10,1986.0,14.016667
2019-06-12,1461.0,14.863333
2019-06-13,1217.0,14.025333
2019-06-14,314.0,14.083333
2019-06-18,7250.0,15.248
2019-06-19,1156.0,15.007333
2019-06-20,5810.0,14.866667
2019-06-24,3963.0,14.882667
2019-06-25,1444.0,14.959333
2019-06-28,4792.0,14.732667
2019-07-01,1414.0,15.347333
2019-07-02,3080.0,15.259333
2019-07-03,366.0,15.959333
2019-07-10,4165.0,15.61
2019-07-11,1827.0,15.876
2019-07-16,2380.0,16.620001
2019-07-17,7317.0,17.044666
2019-07-19,4166.0,17.046
2019-07-22,3456.0,17.25
2019-07-25,4147.0,15.566667
2019-07-26,3619.0,15.128
2019-07-29,787.0,15.139333
2019-08-01,8049.0,16.176666
2019-08-07,2556.0,15.1
2019-08-09,1665.0,15.736667
2019-08-14,6747.0,15.414
2019-08-15,3955.0,14.724
2019-08-16,7530.0,14.444
2019-08-19,4294.0,14.947333
2019-08-20,1778.0,15.174667
2019-08-26,752.0,14.24
2019-08-27,1691.0,14.382667
2019-08-28,495.0,14.246
2019-08-30,5708.0,15.276667
2019-09-03,778.0,14.938667
2019-09-05,5196.0,14.833333
2019-09-09,3119.0,15.333333
2019-09-10,980.0,15.386667
2019-09-11,5922.0,15.825333
2019-09-12,2762.0,16.513332
2019-09-13,611.0,16.464001
2019-09-17,4380.0,16.164667
2019-09-18,4930.0,16.333332
2019-09-19,2566.0,16.4
2019-09-23,3602.0,16.0
2019-09-24,8724.0,16.101334
2019-09-26,3385.0,15.377333
2019-09-27,3050.0,16.146667
2019-10-01,3511.0,16.1
2019-10-02,2622.0,16.219334
2019-10-03,138.0,15.457333
2019-10-04,1668.0,15.440667
2019-10-07,4435.0,15.32
2019-10-08,353.0,15.724667
2019-10-09,3108.0,16.087999
2019-10-15,5121.0,17.18
2019-10-16,1878.0,17.159332
2019-10-17,5389.0,17.5
2019-10-21,1019.0,17.222
2019-10-22,5742.0,16.954666
2019-10-23,3778.0,16.966667
2019-10-24,5652.0,19.891333
2019-10-25,3729.0,19.848
2019-10-28,1628.0,21.836
2019-10-30,4061.0,20.866667
2019-11-01,4186.0,21.087999
2019-11-04,2600.0,20.986668
2019-11-06,3872.0,21.200001
2019-11-07,460.0,21.942667
2019-11-11,3890.0,22.93
2019-11-12,3520.0,23.126667
2019-11-13,1303.0,23.666668
2019-11-14,684.0,23.073999
2019-11-15,5626.0,23.375999
2019-11-19,2504.0,23.450001
2019-11-21,3934.0,23.634001
2019-11-22,7474.0,22.677334
2019-11-25,5952.0,22.954666
2019-11-27,7852.0,22.074667
2019-12-02,7380.0,21.959999
2019-12-04,1754.0,22.516666
2019-12-12,6376.0,23.661333
2019-12-13,9756.0,24.07
2019-12-18,5536.0,25.375334
2019-12-19,5106.0,26.488001
2019-12-20,3327.0,27.352667
2019-12-23,7899.0,27.452
2019-12-26,2862.0,28.527332
2019-12-27,4706.0,29.0
2019-12-30,4399.0,28.586
2020-01-07,5630.0,30.76
2020-01-08,4289.0,31.58
2020-01-09,9029.0,33.139999
2020-01-10,6462.0,32.119331
2020-01-14,1446.0,36.284
