Date,Sentiment,Stock Return
2019-02-12,4.0,21.08
2019-02-13,3.0,20.823334
2019-02-14,2.0,20.225332
2019-02-15,7.0,20.299999
2019-02-20,7.0,20.294001
2019-02-22,6.0,19.632668
2019-02-25,6.0,19.860666
2019-02-26,9.0,19.481333
2019-02-27,5.0,20.118668
2019-03-01,4.0,20.462667
2019-03-06,10.0,18.431999
2019-03-07,4.0,18.589333
2019-03-08,4.0,18.460667
2019-03-12,2.0,19.099333
2019-03-14,4.0,19.496668
2019-03-15,2.0,18.900667
2019-03-22,1.0,18.172001
2019-03-26,2.0,17.629333
2019-03-29,1.0,18.58
2019-04-01,3.0,18.841333
2019-04-02,3.0,19.219999
2019-04-03,2.0,19.154667
2019-04-04,2.0,17.459333
2019-04-05,3.0,17.990667
2019-04-10,1.0,18.449333
2019-04-11,5.0,17.886667
2019-04-12,1.0,18.014668
2019-04-15,3.0,17.908667
2019-04-22,6.0,17.933332
2019-04-23,4.0,17.343332
2019-04-24,1.0,17.59
2019-04-25,1.0,17.0
2019-04-29,6.0,15.724
2019-04-30,3.0,16.137333
2019-05-03,7.0,16.257334
2019-05-06,3.0,16.667999
2019-05-07,1.0,17.120001
2019-05-08,1.0,16.462667
2019-05-09,7.0,16.133333
2019-05-10,4.0,15.983333
2019-05-13,4.0,15.467333
2019-05-16,4.0,15.299333
2019-05-17,6.0,14.797333
2019-05-22,6.0,13.273333
2019-05-23,2.0,12.956
2019-05-24,2.0,13.322
2019-05-31,3.0,12.34
2019-06-07,1.0,13.666667
2019-06-10,2.0,14.016667
2019-06-12,2.0,14.863333
2019-06-13,2.0,14.025333
2019-06-14,1.0,14.083333
2019-06-18,8.0,15.248
2019-06-19,2.0,15.007333
2019-06-20,6.0,14.866667
2019-06-24,4.0,14.882667
2019-06-25,2.0,14.959333
2019-06-28,6.0,14.732667
2019-07-01,2.0,15.347333
2019-07-02,4.0,15.259333
2019-07-03,1.0,15.959333
2019-07-10,5.0,15.61
2019-07-11,2.0,15.876
2019-07-16,3.0,16.620001
2019-07-17,8.0,17.044666
2019-07-19,4.0,17.046
2019-07-22,4.0,17.25
2019-07-25,5.0,15.566667
2019-07-26,4.0,15.128
2019-07-29,1.0,15.139333
2019-08-01,9.0,16.176666
2019-08-07,3.0,15.1
2019-08-09,2.0,15.736667
2019-08-14,7.0,15.414
2019-08-15,4.0,14.724
2019-08-16,8.0,14.444
2019-08-19,5.0,14.947333
2019-08-20,2.0,15.174667
2019-08-26,1.0,14.24
2019-08-27,2.0,14.382667
2019-08-28,1.0,14.246
2019-08-30,6.0,15.276667
2019-09-03,1.0,14.938667
2019-09-05,6.0,14.833333
2019-09-09,4.0,15.333333
2019-09-10,2.0,15.386667
2019-09-11,6.0,15.825333
2019-09-12,4.0,16.513332
2019-09-13,1.0,16.464001
2019-09-17,4.0,16.164667
2019-09-18,5.0,16.333332
2019-09-19,3.0,16.4
2019-09-23,4.0,16.0
2019-09-24,9.0,16.101334
2019-09-26,4.0,15.377333
2019-09-27,4.0,16.146667
2019-10-01,4.0,16.1
2019-10-02,3.0,16.219334
2019-10-03,1.0,15.457333
2019-10-04,2.0,15.440667
2019-10-07,5.0,15.32
2019-10-08,1.0,15.724667
2019-10-09,4.0,16.087999
2019-10-15,6.0,17.18
2019-10-16,2.0,17.159332
2019-10-17,6.0,17.5
2019-10-21,2.0,17.222
2019-10-22,6.0,16.954666
2019-10-23,4.0,16.966667
2019-10-24,6.0,19.891333
2019-10-25,4.0,19.848
2019-10-28,2.0,21.836
2019-10-30,5.0,20.866667
2019-11-01,5.0,21.087999
2019-11-04,3.0,20.986668
2019-11-06,4.0,21.200001
